"synonym","unacceptreason","aphiaid","scientific","match_type"
"Aluterus maculosus",NA,279463,"Acanthaluteres spilomelanurus","exact"
"Balistes spilomelanurus",NA,279463,"Acanthaluteres spilomelanurus","exact"
"Monacanthus forsteri","junior synonym",279463,"Acanthaluteres spilomelanurus","exact"
"Acanthaluteres guntheri",NA,279464,"Acanthaluteres vittiger","exact"
"Cantherines guntheri",NA,279464,"Acanthaluteres vittiger","exact"
"Monacanthus guntheri","junior synonym",279464,"Acanthaluteres vittiger","exact"
"Monacanthus vittiger",NA,279464,"Acanthaluteres vittiger","exact"
"Penicipelta vittiger",NA,279464,"Acanthaluteres vittiger","exact"
"Acanthaphritis barbatus","misspelling",279465,"Acanthaphritis barbata","exact"
"Spinapsaron barbatum","misspelling",279465,"Acanthaphritis barbata","exact"
"Spinapsaron barbatus","misspelling",279465,"Acanthaphritis barbata","exact"
"Branchiopsaron ozawai",NA,279467,"Acanthaphritis ozawai","exact"
"Acanthardus pomotis",NA,293694,"Acantharchus pomotis","exact"
"Centrarchus pomotis","Basionym",293694,"Acantharchus pomotis","exact"
"Acanthemblemaria arborescens",NA,279443,"Acanthemblemaria aspera","exact"
"Acanthemblemaria asper","misspelling",279443,"Acanthemblemaria aspera","exact"
"Paremblemaria aspera",NA,279443,"Acanthemblemaria aspera","exact"
"Acanthemblemaria cubana",NA,279448,"Acanthemblemaria chaplini","exact"
"Acanthemblemaria hancocki macrospilus",NA,279455,"Acanthemblemaria macrospilus","exact"
"Acanthemblemaria variegata",NA,254883,"Acanthemblemaria spinosa","exact"
"Rinelepis acanthicus","junior synonym",1022676,"Acanthicus hystrix","exact"
"Plectropoma brasilianum",NA,278720,"Acanthistius brasilianus","exact"
"Plectropoma patachonica","synonym",278720,"Acanthistius brasilianus","exact"
"Plectropoma cinctum",NA,278721,"Acanthistius cinctus","exact"
"Plectropoma cyanostigma",NA,278723,"Acanthistius ocellatus","exact"
"Plectropoma myriaster",NA,278723,"Acanthistius ocellatus","exact"
"Plectropoma ocellatum",NA,278723,"Acanthistius ocellatus","exact"
"Plectropoma patachonica","synonym",278725,"Acanthistius patachonicus","exact"
"Plectropoma pictum",NA,278727,"Acanthistius pictus","exact"
"Serranus sebastoides",NA,218166,"Acanthistius sebastoides","exact"
"Plectropoma serratum","synonym",278728,"Acanthistius serratus","exact"
"Acanthobrama terraesanctae oligolepis",NA,1013097,"Acanthobrama lissneri","exact"
"Acanthobrama arrhada",NA,279406,"Acanthobrama marmid","exact"
"Acanthobrama cupida",NA,279406,"Acanthobrama marmid","exact"
"Acanthobrama marmid elata",NA,279406,"Acanthobrama marmid","exact"
"Acanthobrama marmid marmid",NA,279406,"Acanthobrama marmid","exact"
"Abramis microlepis","synonym",1020219,"Acanthobrama microlepis","exact"
"Acanthalburnus microlepis",NA,1020219,"Acanthobrama microlepis","exact"
"Acanthalburnus punctulatus",NA,1020219,"Acanthobrama microlepis","exact"
"Alburnus brandtii",NA,1020219,"Acanthobrama microlepis","exact"
"Alburnus microlepis",NA,1020219,"Acanthobrama microlepis","exact"
"Alburnus punctulatus","synonym",1020219,"Acanthobrama microlepis","exact"
"Acanthobrama marmid orontis",NA,1014264,"Acanthobrama orontis","exact"
